"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060033829","43872","7254"
"T20060033832","39679","5573"
"T20060033885","514","5430"
"T20060033937","42197","6549"
"T20060033961","40942","5828"
"T20060033965","35785","7797"
"T20060033976","56495","100507"
"T20060034033","37911","9436"
"T20060034182","37170","9745"
"T20060034218","935","7281"
"T20060034302","55585","4241"
"T20060034343","10592","1000"
"T20060034364","42822","9222"
"T20060034426","36898","102302"
"T20060034431","44304","9875"
"T20060034441","50142","7792"
"T20060034449","1195","7863"
"T20060034452","55889","7746"
"T20060034482","55896","5159"
"T20060034516","36983","9773"
"T20060034543","40289","5644"
"T20060034719","48154","9484"
"T20060034736","53022","2432"
"T20060034791","29592","9867"
"T20060034801","40913","5913"
"T20060034814","46025","5615"
"T20060034826","46295","5128"
"T20060034827","45952","9567"
"T20060034833","10850","9740"
"T20060034869","793","1000"
"T20060034917","19317","4010"
"T20060034945","37282","9642"
"T20060034959","42768","6691"
"T20060034972","47545","7599"
